,INSCRICAO,SEXO,CIDADE,ESTADO,CARGO,CÓDIGO,LOCAL DE PROVA,ANO
6331,42101831269-4,M,Arequipa,PE,1-Mestrado/Doutorado,1,Arequipa - PERU,2017
6332,42101834391-5,M,Bandeirantes,PR,1-Mestrado/Doutorado,1,Londrina - PR,2017
6333,42101810306-5,M,Campina Grande,PB,1-Mestrado/Doutorado,1,Campina Grande - PB,2017
6334,42101809450-5,M,São João Del Rei,MG,1-Mestrado/Doutorado,1,Belo Horizonte - MG,2017
6335,42101820222-0,M,Teresina,PI,1-Mestrado/Doutorado,1,Teresina - PI,2017
6336,42101812359-9,M,Bom Jesus,PI,1-Mestrado/Doutorado,1,Teresina - PI,2017
6337,42101810106-0,M,Pará de Minas,MG,1-Mestrado/Doutorado,1,Belo Horizonte - MG,2017
6338,42101817697-5,M,Monteiro,PB,1-Mestrado/Doutorado,1,Campina Grande - PB,2017
6339,42101813737-8,M,Tacima,PB,1-Mestrado/Doutorado,1,João Pessoa - PB,2017
6340,42101833564-9,M,Belém,PA,1-Mestrado/Doutorado,1,Belém - PA,2017
6341,42101811730-5,M,Icó,CE,1-Mestrado/Doutorado,1,Fortaleza - CE,2017
6342,42101809673-6,M,Cuiabá,MT,1-Mestrado/Doutorado,1,Bauru - SP,2017
6343,42101833542-2,M,São Paulo,SP,1-Mestrado/Doutorado,1,São Paulo - SP,2017
6344,42101816561-7,M,Currais Novos,RN,1-Mestrado/Doutorado,1,Natal - RN,2017
6345,42101835217-9,M,Maringá,PR,1-Mestrado/Doutorado,1,Maringá - PR,2017
6346,42101809910-9,M,Morada Nova,CE,1-Mestrado/Doutorado,1,Quixadá - CE,2017
6347,42101810110-9,M,Uberlândia,MG,1-Mestrado/Doutorado,1,Uberlândia - MG,2017
6348,42102824806-6,M,Pelotas,RS,2-Autoavaliação,2,Pelotas - RS,2017
6349,42101834426-5,M,Pouso Alegre,MG,1-Mestrado/Doutorado,1,Poços das Caldas - MG,2017
6350,42101809519-0,M,Aracoiaba,CE,1-Mestrado/Doutorado,1,Quixadá - CE,2017
6351,42101811187-2,M,Russas,CE,1-Mestrado/Doutorado,1,Mossoró - RN,2017
6352,42101809478-1,M,Curitiba,PR,1-Mestrado/Doutorado,1,Cuiabá - MT,2017
6353,42101824820-9,F,Fortaleza,CE,1-Mestrado/Doutorado,1,Fortaleza - CE,2017
6354,42101812292-4,M,Belém,PA,1-Mestrado/Doutorado,1,Belém - PA,2017
6355,42101833460-1,M,Lima,OU,1-Mestrado/Doutorado,1,Lima - PERU,2017
6356,42101815195-6,M,Cruz das Almas,BA,1-Mestrado/Doutorado,1,Salvador - BA,2017
6357,42101809383-2,M,Vila Velha,ES,1-Mestrado/Doutorado,1,Vitória - ES,2017
6358,42101829485-0,M,Areado,MG,1-Mestrado/Doutorado,1,Poços das Caldas - MG,2017
6359,42101835328-4,M,Novo Hamburgo,RS,1-Mestrado/Doutorado,1,Porto Alegre - RS,2017
6360,42101810070-0,M,Vitória,ES,1-Mestrado/Doutorado,1,Vitória - ES,2017
6361,42101834864-7,M,Maceió,AL,1-Mestrado/Doutorado,1,Maceió - AL,2017
6362,42101824216-7,F,Itapejara d Oeste,PR,1-Mestrado/Doutorado,1,Joinville - SC,2017
6363,42101809522-8,M,Lima,OU,1-Mestrado/Doutorado,1,Lima - PERU,2017
6364,42101810419-0,M,Timóteo,MG,1-Mestrado/Doutorado,1,Belo Horizonte - MG,2017
